size\stride	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	
128m	3405	2494	2126	1398	1218	1005	956	800	504	744	782	441	531	497	563	511	
64m	5609	2606	2124	1782	1392	1041	957	819	825	689	660	547	541	604	452	692	
32m	3326	3048	2166	1686	1792	1248	1136	797	837	664	690	654	549	545	514	503	
16m	2984	2932	2552	1860	1515	1020	1175	1033	734	873	800	692	617	571	688	516	
8m	2979	2924	2773	1692	1570	1099	1092	723	1088	945	827	953	734	837	698	660	
4m	2864	3391	2833	2413	1954	1674	1034	1200	1162	1208	1219	1120	1108	1198	1455	1034	
2m	4929	3525	4096	2983	2891	2462	2148	1884	1643	1648	1586	1541	1495	1456	1424	1391	
1024k	3008	3008	3008	3006	2926	2469	2147	1886	1732	1652	1593	1545	1500	1458	1431	1397	
512k	3008	3007	3006	3004	2934	2487	2144	1886	1731	1660	1601	1570	1537	1509	1507	1554	
256k	3007	3006	3006	3001	2960	1848	1840	1877	1989	1982	2663	2655	2613	2613	2613	2677	
128k	3007	3004	3003	3002	2993	2986	2924	2834	2766	2725	2719	2707	2740	2745	2744	2712	
64k	3006	3002	2996	2990	2980	2978	2966	2806	2650	2627	2619	2653	2974	2848	2953	2941	
32k	3006	2998	2973	2971	2949	2938	2943	2954	2905	2902	2873	2870	2847	2837	2833	2843	
16k	2999	2969	2947	2925	2888	2878	2853	2833	2822	2774	2753	2734	2739	2713	2668	2648	
8k	2989	2941	2883	2841	2822	2759	2704	2669	2605	2637	2552	2727	2492	2512	2725	3034	
4k	2966	2856	2757	2664	2614	2721	2458	2621	2633	2593	2518	2522	2531	2059	2407	2293	
2k	2912	2727	2595	2428	2608	3033	2064	1855	3099	2068	2302	2220	2341	3531	2151	1946	
1k	2801	2451	2682	2010	3026	2445	2323	3150	3726	1778	2594	2568	1557	1543	2003	1751	
