size\stride	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	
128m	6759	5771	3885	2624	2052	1686	1405	1217	1109	1015	933	863	840	803	782	764	
64m	6813	5853	3929	2687	2089	1709	1410	1245	1117	1036	960	900	845	812	785	759	
32m	6873	5855	3983	2735	2151	1734	1449	1277	1162	1028	986	925	866	824	795	766	
16m	6873	5895	4114	2889	2271	1848	1545	1373	1216	1154	1071	991	934	896	846	841	
8m	6898	5936	4378	3179	2513	2085	1744	1567	1430	1362	1279	1211	1186	1155	1114	1098	
4m	6908	6521	5880	5084	3941	3001	2673	2397	2339	2518	2560	2638	2661	2546	2703	2734	
2m	6984	6984	6984	6981	6907	5841	5058	4452	4080	3904	3783	3666	3559	3466	3395	3333	
1024k	6984	6982	6983	6983	6897	5833	5055	4445	4073	3916	3769	3660	3554	3472	3419	3343	
512k	6985	6984	6985	6983	6898	5866	5079	4461	4111	3934	3818	3696	3606	3613	3588	3654	
256k	6984	6987	6985	6985	6980	6960	6975	6921	6860	6933	6965	6929	6936	6940	6769	6898	
128k	6978	6981	6973	6957	6966	6933	6943	6936	6909	6903	6926	6918	6920	6814	6850	6864	
64k	6988	6971	6946	6950	6919	6895	6893	6885	6873	6870	6818	6804	6784	6810	6913	6762	
32k	6981	6941	6916	6887	6856	6826	6795	6842	6751	6694	6682	6660	6663	6609	6545	6545	
16k	6968	6899	6825	6769	6725	6684	6617	6553	6519	6469	6417	6363	6341	6331	6158	6183	
8k	6920	6823	6719	6637	6526	6412	6309	6293	6021	6076	6025	6343	5756	5535	6449	6134	
4k	6884	6629	6481	6223	6090	6393	5827	6146	6168	6062	6585	6714	4931	4819	5460	4510	
2k	6751	6389	5999	5616	6279	6838	5922	4647	5532	7227	7043	4877	6919	8378	5495	6389	
1k	6609	5826	5752	5654	7134	4823	5663	7596	7921	6997	4647	3758	4840	3980	4620	4792	
